Name,Rarity,Level,Element Type,Abilities,CP,Avg. Attack,Defense,HP,Avg. Speed,Stamina,Price
Blazehowl,Rare,7,Fire,"[{'name': 'Ignis Blast', 'level': 1, 'power': 30, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Power Shot', 'level': 7, 'power': 35, 'cooldown': 4, 'range': '600 - 3000'}, {'name': 'Flare Arrow', 'level': 15, 'power': 55, 'cooldown': 10, 'range': '500 - 5000'}, {'name': 'Ignis Breath', 'level': 22, 'power': 70, 'cooldown': 15, 'range': '500 - 1500'}, {'name': 'Ignis Rage', 'level': 30, 'power': 120, 'cooldown': 40, 'range': '100 - 1000'}, {'name': 'Fire Ball', 'level': 40, 'power': 150, 'cooldown': 55, 'range': '500 - 9999'}, {'name': 'Pal Blast', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}]",290.0,105.0,80,105,580.0,100,4040
Blazehowl Noct,Epic,8,FireDark,"[{'name': 'Shadow Burst', 'level': 1, 'power': 55, 'cooldown': 10, 'range': '0 - 300'}, {'name': 'Flare Arrow', 'level': 7, 'power': 55, 'cooldown': 10, 'range': '500 - 5000'}, {'name': 'Ignis Breath', 'level': 15, 'power': 70, 'cooldown': 15, 'range': '500 - 1500'}, {'name': 'Spirit Flame', 'level': 22, 'power': 75, 'cooldown': 16, 'range': '500 - 5000'}, {'name': 'Ignis Rage', 'level': 30, 'power': 120, 'cooldown': 40, 'range': '100 - 1000'}, {'name': 'Fire Ball', 'level': 40, 'power': 150, 'cooldown': 55, 'range': '500 - 9999'}, {'name': 'Dark Laser', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}]",292.5,107.5,80,105,570.0,100,4360
Bristla,Common,1,Leaf,"[{'name': 'Wind Cutter', 'level': 1, 'power': 30, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Seed Machine Gun', 'level': 7, 'power': 50, 'cooldown': 9, 'range': '0 - 300'}, {'name': 'Ice Missile', 'level': 15, 'power': 30, 'cooldown': 3, 'range': '800 - 3000'}, {'name': 'Grass Tornado', 'level': 22, 'power': 80, 'cooldown': 18, 'range': '700 - 3000'}, {'name': 'Iceberg', 'level': 30, 'power': 70, 'cooldown': 15, 'range': '100 - 9999'}, {'name': 'Spine Vine', 'level': 40, 'power': 95, 'cooldown': 25, 'range': '500 - 9999'}, {'name': 'Solar Blast', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}]",240.0,80.0,80,80,333.3333333333333,100,1140
Broncherry,Rare,7,Leaf,"[{'name': 'Wind Cutter', 'level': 1, 'power': 30, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Sand Blast', 'level': 7, 'power': 40, 'cooldown': 4, 'range': '500 - 3000'}, {'name': 'Muscle Slam', 'level': 15, 'power': 80, 'cooldown': 12, 'range': '0 - 400'}, {'name': 'Seed Mine', 'level': 22, 'power': 65, 'cooldown': 13, 'range': '800 - 9999'}, {'name': 'Grass Tornado', 'level': 30, 'power': 80, 'cooldown': 18, 'range': '700 - 3000'}, {'name': 'Spine Vine', 'level': 40, 'power': 95, 'cooldown': 25, 'range': '500 - 9999'}, {'name': 'Solar Blast', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}]",305.0,85.0,100,120,300.0,100,2920
Broncherry Aqua,Epic,8,LeafWater,"[{'name': 'Aqua Gun', 'level': 1, 'power': 40, 'cooldown': 4, 'range': '500 - 5000'}, {'name': 'Bubble Blast', 'level': 7, 'power': 65, 'cooldown': 13, 'range': '1000 - 3500'}, {'name': 'Muscle Slam', 'level': 15, 'power': 80, 'cooldown': 12, 'range': '0 - 400'}, {'name': 'Seed Mine', 'level': 22, 'power': 65, 'cooldown': 13, 'range': '800 - 9999'}, {'name': 'Spine Vine', 'level': 30, 'power': 95, 'cooldown': 25, 'range': '500 - 9999'}, {'name': 'Aqua Burst', 'level': 40, 'power': 100, 'cooldown': 30, 'range': '1000 - 9999'}, {'name': 'Hydro Laser', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}]",307.5,87.5,100,120,300.0,100,3110
Bushi,Rare,7,Fire,"[{'name': 'Ignis Blast', 'level': 1, 'power': 30, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Wind Cutter', 'level': 7, 'power': 30, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Icicle Cutter', 'level': 15, 'power': 55, 'cooldown': 10, 'range': '500 - 4000'}, {'name': 'Iaigiri', 'level': 22, 'power': 65, 'cooldown': 9, 'range': '1000 - 9999'}, {'name': 'Ignis Breath', 'level': 30, 'power': 70, 'cooldown': 15, 'range': '500 - 1500'}, {'name': 'Lightning Strike', 'level': 40, 'power': 120, 'cooldown': 40, 'range': '0 - 500'}, {'name': 'Ignis Rage', 'level': 50, 'power': 120, 'cooldown': 40, 'range': '100 - 1000'}]",272.5,112.5,80,80,526.6666666666666,100,4520
Bushi Noct,Rare,7,FireDark,"[{'name': 'Spirit Fire', 'level': 1, 'power': 45, 'cooldown': 7, 'range': '1000 - 3000'}, {'name': 'Umbral Surge', 'level': 7, 'power': 40, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Dark Cannon', 'level': 15, 'power': 50, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Dark Arrow', 'level': 22, 'power': 65, 'cooldown': 10, 'range': '500 - 5000'}, {'name': 'Spirit Flame', 'level': 30, 'power': 75, 'cooldown': 16, 'range': '500 - 5000'}, {'name': 'Flame Wall', 'level': 40, 'power': 100, 'cooldown': 30, 'range': '0 - 5000'}, {'name': 'Apocalypse', 'level': 50, 'power': 110, 'cooldown': 55, 'range': '100 - 9999'}]",275.0,115.0,80,80,526.6666666666666,100,4520
Caprity,Common,3,Leaf,"[{'name': 'Wind Cutter', 'level': 1, 'power': 30, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Air Cannon', 'level': 7, 'power': 25, 'cooldown': 2, 'range': '500 - 4000'}, {'name': 'Sand Blast', 'level': 15, 'power': 40, 'cooldown': 4, 'range': '500 - 3000'}, {'name': 'Power Shot', 'level': 22, 'power': 35, 'cooldown': 4, 'range': '600 - 3000'}, {'name': 'Grass Tornado', 'level': 30, 'power': 80, 'cooldown': 18, 'range': '700 - 3000'}, {'name': 'Spine Vine', 'level': 40, 'power': 95, 'cooldown': 25, 'range': '500 - 9999'}, {'name': 'Solar Blast', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}]",260.0,70.0,90,100,340.0,100,2510
Cattiva,Common,1,Normal,"[{'name': 'Punch Flurry', 'level': 1, 'power': 40, 'cooldown': 1, 'range': '0 - 500'}, {'name': 'Air Cannon', 'level': 7, 'power': 25, 'cooldown': 2, 'range': '500 - 4000'}, {'name': 'Sand Blast', 'level': 15, 'power': 40, 'cooldown': 4, 'range': '500 - 3000'}, {'name': 'Power Shot', 'level': 22, 'power': 35, 'cooldown': 4, 'range': '600 - 3000'}, {'name': 'Wind Cutter', 'level': 30, 'power': 30, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Seed Machine Gun', 'level': 40, 'power': 50, 'cooldown': 9, 'range': '0 - 300'}, {'name': 'Pal Blast', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}]",210.0,70.0,70,70,326.6666666666667,100,1000
Cawgnito,Common,3,Dark,"[{'name': 'Air Cannon', 'level': 1, 'power': 25, 'cooldown': 2, 'range': '500 - 4000'}, {'name': 'Dark Ball', 'level': 7, 'power': 40, 'cooldown': 4, 'range': '500 - 1000'}, {'name': 'Phantom Peck', 'level': 15, 'power': 55, 'cooldown': 7, 'range': '0 - 9999'}, {'name': 'Shadow Burst', 'level': 22, 'power': 55, 'cooldown': 10, 'range': '0 - 300'}, {'name': 'Spirit Flame', 'level': 30, 'power': 75, 'cooldown': 16, 'range': '500 - 5000'}, {'name': 'Nightmare Ball', 'level': 40, 'power': 100, 'cooldown': 30, 'range': '1000 - 9999'}, {'name': 'Dark Laser', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}]",242.5,87.5,80,75,735.0,100,1840
Celaray,Common,3,Water,"[{'name': 'Hydro Jet', 'level': 1, 'power': 30, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Aqua Gun', 'level': 7, 'power': 40, 'cooldown': 4, 'range': '500 - 5000'}, {'name': 'Power Shot', 'level': 15, 'power': 35, 'cooldown': 4, 'range': '600 - 3000'}, {'name': 'Bubble Blast', 'level': 22, 'power': 65, 'cooldown': 13, 'range': '1000 - 3500'}, {'name': 'Seed Machine Gun', 'level': 30, 'power': 50, 'cooldown': 9, 'range': '0 - 300'}, {'name': 'Aqua Burst', 'level': 40, 'power': 100, 'cooldown': 30, 'range': '1000 - 9999'}, {'name': 'Hydro Laser', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}]",245.0,85.0,80,80,426.6666666666667,100,2860
Chikipi,Common,1,Normal,"[{'name': 'Chicken Rush', 'level': 1, 'power': 30, 'cooldown': 1, 'range': '0 - 500'}, {'name': 'Air Cannon', 'level': 7, 'power': 25, 'cooldown': 2, 'range': '500 - 4000'}, {'name': 'Power Shot', 'level': 15, 'power': 35, 'cooldown': 4, 'range': '600 - 3000'}, {'name': 'Implode', 'level': 22, 'power': 230, 'cooldown': 55, 'range': '0 - 1000'}, {'name': 'Grass Tornado', 'level': 30, 'power': 80, 'cooldown': 18, 'range': '700 - 3000'}, {'name': 'Sand Tornado', 'level': 40, 'power': 80, 'cooldown': 18, 'range': '100 - 3000'}, {'name': 'Flare Storm', 'level': 50, 'power': 80, 'cooldown': 18, 'range': '700 - 3000'}]",185.0,65.0,60,60,325.0,100,1000
Chillet,Common,4,IceDragon,"[{'name': 'Ice Missile', 'level': 1, 'power': 30, 'cooldown': 3, 'range': '800 - 3000'}, {'name': 'Dragon Cannon', 'level': 7, 'power': 30, 'cooldown': 2, 'range': '500 - 4000'}, {'name': 'Rocket Slam', 'level': 11, 'power': 50, 'cooldown': 6, 'range': '300 - 1500'}, {'name': 'Dragon Burst', 'level': 15, 'power': 55, 'cooldown': 10, 'range': '0 - 200'}, {'name': 'Icicle Cutter', 'level': 22, 'power': 55, 'cooldown': 10, 'range': '500 - 4000'}, {'name': 'Draconic Breath', 'level': 30, 'power': 70, 'cooldown': 15, 'range': '500 - 1500'}, {'name': 'Cryst Breath', 'level': 40, 'power': 90, 'cooldown': 22, 'range': '100 - 1000'}, {'name': 'Dragon Meteor', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 5000'}]",260.0,90.0,80,90,500.0,100,3450
Chillet Ignis,Rare,5,FireDragon,"[{'name': 'Ignis Blast', 'level': 1, 'power': 30, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Dragon Burst', 'level': 7, 'power': 55, 'cooldown': 10, 'range': '0 - 200'}, {'name': 'Flare Arrow', 'level': 15, 'power': 55, 'cooldown': 10, 'range': '500 - 5000'}, {'name': 'Ignis Breath', 'level': 22, 'power': 70, 'cooldown': 15, 'range': '500 - 1500'}, {'name': 'Rocket Slam', 'level': 30, 'power': 50, 'cooldown': 6, 'range': '300 - 1500'}, {'name': 'Flame Wall', 'level': 40, 'power': 100, 'cooldown': 30, 'range': '0 - 5000'}, {'name': 'Fire Ball', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 9999'}]",262.5,92.5,80,90,500.0,100,4450
Cinnamoth,Common,4,Leaf,"[{'name': 'Air Cannon', 'level': 1, 'power': 25, 'cooldown': 2, 'range': '500 - 4000'}, {'name': 'Wind Cutter', 'level': 7, 'power': 30, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Poison Fog', 'level': 15, 'power': 0, 'cooldown': 30, 'range': '0 - 200'}, {'name': 'Sand Tornado', 'level': 22, 'power': 80, 'cooldown': 18, 'range': '100 - 3000'}, {'name': 'Seed Mine', 'level': 30, 'power': 65, 'cooldown': 13, 'range': '800 - 9999'}, {'name': 'Grass Tornado', 'level': 40, 'power': 80, 'cooldown': 18, 'range': '700 - 3000'}, {'name': 'Solar Blast', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}]",240.0,90.0,80,70,426.6666666666667,100,5700
Cremis,Common,1,Normal,"[{'name': 'Air Cannon', 'level': 1, 'power': 25, 'cooldown': 2, 'range': '500 - 4000'}, {'name': 'Sand Blast', 'level': 7, 'power': 40, 'cooldown': 4, 'range': '500 - 3000'}, {'name': 'Spark Blast', 'level': 15, 'power': 30, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Power Shot', 'level': 22, 'power': 35, 'cooldown': 4, 'range': '600 - 3000'}, {'name': 'Shockwave', 'level': 30, 'power': 40, 'cooldown': 4, 'range': '0 - 300'}, {'name': 'Power Bomb', 'level': 40, 'power': 70, 'cooldown': 15, 'range': '1000 - 9999'}, {'name': 'Lightning Bolt', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 3000'}]",230.0,85.0,75,70,256.6666666666667,100,1420
Croajiro,Common,4,Water,"[{'name': 'Aqua Gun', 'level': 1, 'power': 40, 'cooldown': 4, 'range': '500 - 5000'}, {'name': 'Bubble Blast', 'level': 7, 'power': 65, 'cooldown': 13, 'range': '1000 - 3500'}, {'name': 'Acid Rain', 'level': 15, 'power': 80, 'cooldown': 18, 'range': '100 - 1000'}, {'name': 'Aqua Burst', 'level': 22, 'power': 100, 'cooldown': 30, 'range': '1000 - 9999'}, {'name': 'Splash', 'level': 30, 'power': 90, 'cooldown': 22, 'range': '0 - 9999'}, {'name': 'Curtain Splash', 'level': 40, 'power': 120, 'cooldown': 40, 'range': '0 - 9999'}, {'name': 'Hydro Laser', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}]",265.0,100.0,85,80,261.0,100,2040
Cryolinx,Rare,7,Ice,"[{'name': 'Power Shot', 'level': 1, 'power': 35, 'cooldown': 4, 'range': '600 - 3000'}, {'name': 'Ice Missile', 'level': 7, 'power': 30, 'cooldown': 3, 'range': '800 - 3000'}, {'name': 'Stone Cannon', 'level': 15, 'power': 70, 'cooldown': 15, 'range': '500 - 2500'}, {'name': 'Icicle Cutter', 'level': 22, 'power': 55, 'cooldown': 10, 'range': '500 - 4000'}, {'name': 'Iceberg', 'level': 30, 'power': 70, 'cooldown': 15, 'range': '100 - 9999'}, {'name': 'Cryst Breath', 'level': 40, 'power': 90, 'cooldown': 22, 'range': '100 - 1000'}, {'name': 'Blizzard Spike', 'level': 50, 'power': 130, 'cooldown': 45, 'range': '1000 - 9999'}]",330.0,120.0,110,100,573.3333333333334,100,8440
Daedream,Common,1,Dark,"[{'name': 'Dark Ball', 'level': 1, 'power': 40, 'cooldown': 4, 'range': '500 - 1000'}, {'name': 'Poison Blast', 'level': 7, 'power': 30, 'cooldown': 2, 'range': '500 - 3000'}, {'name': 'Shadow Burst', 'level': 15, 'power': 55, 'cooldown': 10, 'range': '0 - 300'}, {'name': 'Cryst Breath', 'level': 22, 'power': 90, 'cooldown': 22, 'range': '100 - 1000'}, {'name': 'Spirit Flame', 'level': 30, 'power': 75, 'cooldown': 16, 'range': '500 - 5000'}, {'name': 'Nightmare Ball', 'level': 40, 'power': 100, 'cooldown': 30, 'range': '1000 - 9999'}, {'name': 'Dark Laser', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}]",217.5,87.5,60,70,306.6666666666667,100,1330
Dazemu,Rare,5,Earth,"[{'name': 'Sand Blast', 'level': 1, 'power': 40, 'cooldown': 4, 'range': '500 - 3000'}, {'name': 'Power Shot', 'level': 7, 'power': 35, 'cooldown': 4, 'range': '600 - 3000'}, {'name': 'Stone Blast', 'level': 15, 'power': 55, 'cooldown': 10, 'range': '500 - 4000'}, {'name': 'Stone Cannon', 'level': 22, 'power': 70, 'cooldown': 15, 'range': '500 - 2500'}, {'name': 'Earth Dash', 'level': 30, 'power': 100, 'cooldown': 21, 'range': '300 - 3500'}, {'name': 'Rockburst', 'level': 40, 'power': 130, 'cooldown': 35, 'range': '0 - 1200'}, {'name': 'Sand Twister', 'level': 50, 'power': 160, 'cooldown': 60, 'range': '0 - 9999'}]",270.0,95.0,80,95,726.6666666666666,100,2610
Dazzi,Common,2,Electricity,"[{'name': 'Air Cannon', 'level': 1, 'power': 25, 'cooldown': 2, 'range': '500 - 4000'}, {'name': 'Shockwave', 'level': 7, 'power': 40, 'cooldown': 4, 'range': '0 - 300'}, {'name': 'Acid Rain', 'level': 15, 'power': 80, 'cooldown': 18, 'range': '100 - 1000'}, {'name': 'Lightning Streak', 'level': 22, 'power': 75, 'cooldown': 16, 'range': '500 - 2000'}, {'name': 'Tri-Lightning', 'level': 30, 'power': 90, 'cooldown': 22, 'range': '0 - 9999'}, {'name': 'Lightning Strike', 'level': 40, 'power': 120, 'cooldown': 40, 'range': '0 - 500'}, {'name': 'Lightning Bolt', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 3000'}]",235.0,95.0,70,70,356.6666666666667,100,1390
Depresso,Common,1,Dark,"[{'name': 'Poison Blast', 'level': 1, 'power': 30, 'cooldown': 2, 'range': '500 - 3000'}, {'name': 'Sand Blast', 'level': 7, 'power': 40, 'cooldown': 4, 'range': '500 - 3000'}, {'name': 'Dark Ball', 'level': 15, 'power': 40, 'cooldown': 4, 'range': '500 - 1000'}, {'name': 'Ice Missile', 'level': 22, 'power': 30, 'cooldown': 3, 'range': '800 - 3000'}, {'name': 'Shadow Burst', 'level': 30, 'power': 55, 'cooldown': 10, 'range': '0 - 300'}, {'name': 'Nightmare Ball', 'level': 40, 'power': 100, 'cooldown': 30, 'range': '1000 - 9999'}, {'name': 'Dark Laser', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}]",210.0,70.0,70,70,240.0,100,1050
Digtoise,Rare,5,Earth,"[{'name': 'Aqua Gun', 'level': 1, 'power': 40, 'cooldown': 4, 'range': '500 - 5000'}, {'name': 'Stone Blast', 'level': 7, 'power': 55, 'cooldown': 10, 'range': '500 - 4000'}, {'name': 'Shell Spin', 'level': 15, 'power': 65, 'cooldown': 9, 'range': '200 - 1500'}, {'name': 'Stone Cannon', 'level': 22, 'power': 70, 'cooldown': 15, 'range': '500 - 2500'}, {'name': 'Sand Tornado', 'level': 30, 'power': 80, 'cooldown': 18, 'range': '100 - 3000'}, {'name': 'Aqua Burst', 'level': 40, 'power': 100, 'cooldown': 30, 'range': '1000 - 9999'}, {'name': 'Rock Lance', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '100 - 9999'}]",287.5,87.5,120,80,265.0,100,2980
Dinossom,Rare,6,LeafDragon,"[{'name': 'Wind Cutter', 'level': 1, 'power': 30, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Botanical Smash', 'level': 7, 'power': 60, 'cooldown': 8, 'range': '0 - 1500'}, {'name': 'Dragon Burst', 'level': 15, 'power': 55, 'cooldown': 10, 'range': '0 - 200'}, {'name': 'Seed Mine', 'level': 22, 'power': 65, 'cooldown': 13, 'range': '800 - 9999'}, {'name': 'Draconic Breath', 'level': 30, 'power': 70, 'cooldown': 15, 'range': '500 - 1500'}, {'name': 'Spine Vine', 'level': 40, 'power': 95, 'cooldown': 25, 'range': '500 - 9999'}, {'name': 'Solar Blast', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}]",287.5,87.5,90,110,440.0,100,3240
